127.0.0.1 - - [11/Nov/2020:13:12:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:12:59 +0900] "GET /Semi_Project/ HTTP/1.1" 200 10698
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:00 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:07 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:07 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:07 +0900] "GET /Semi_Project/ HTTP/1.1" 200 11979
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:07 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:11 +0900] "GET /Semi_Project/managerreport.do HTTP/1.1" 200 20714
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:11 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:19 +0900] "GET /Semi_Project/reportStop.do HTTP/1.1" 200 769
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:24 +0900] "POST /Semi_Project/stopReport.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:24 +0900] "GET /Semi_Project/managerreport.do HTTP/1.1" 200 20264
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:24 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:27 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:27 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:27 +0900] "GET /Semi_Project/ HTTP/1.1" 200 10698
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:27 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:30 +0900] "POST /Semi_Project/login.do HTTP/1.1" 200 236
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:31 +0900] "GET /Semi_Project/ HTTP/1.1" 200 10698
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:31 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:36 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:36 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:36 +0900] "GET /Semi_Project/ HTTP/1.1" 200 11432
0:0:0:0:0:0:0:1 - - [11/Nov/2020:13:13:36 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
