127.0.0.1 - - [05/Jan/2021:18:17:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:45 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:45 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:50 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:50 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:50 +0900] "GET /Semi_Project/ HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:50 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:53 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 11453
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:53 +0900] "GET /Semi_Project/resources/css/myPage.css HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:53 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:55 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:55 +0900] "GET /Semi_Project/resources/css/my_delivery.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:55 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:57 +0900] "GET /Semi_Project/updateDeliveryForm.do HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:57 +0900] "GET /Semi_Project/resources/css/updateDelivery.css HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:17:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:24:15 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:24:15 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:31:24 +0900] "GET /Semi_Project/updateDeliveryForm.do HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [05/Jan/2021:18:31:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
